"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"TR02_17"	"TR02_17a"	"TR02_18"	"TR02_18a"	"TR02_19"	"TR02_19a"	"TR02_20"	"TR02_20a"	"TR02_21"	"TR02_21a"	"TR02_22"	"TR02_22a"	"TR02_23"	"TR02_23a"	"TR02_24"	"TR02_24a"	"TR02_25"	"TR02_25a"	"TR02_26"	"TR02_26a"	"TR02_27"	"TR02_27a"	"TR02_28"	"TR02_28a"	"TR02_29"	"TR02_29a"	"TR02_30"	"TR02_30a"	"TR02_31"	"TR02_31a"	"TR02_32"	"TR02_32a"	"TR02_33"	"TR02_33a"	"TR02_34"	"TR02_34a"	"TR02_35"	"TR02_35a"	"TR02_36"	"TR02_36a"	"TR02_37"	"TR02_37a"	"TR02_38"	"TR02_38a"	"TR02_39"	"TR02_39a"	"TR02_40"	"TR02_40a"	"TR02_41"	"TR02_41a"	"TR02_42"	"TR02_42a"	"TR02_43"	"TR02_43a"	"TR02_44"	"TR02_44a"	"TR02_45"	"TR02_45a"	"TR02_46"	"TR02_46a"	"TR02_47"	"TR02_47a"	"TR02_48"	"TR02_48a"	"TR02_49"	"TR02_49a"	"TR02_50"	"TR02_50a"	"TR02_51"	"TR02_51a"	"TR02_52"	"TR02_52a"	"TR02_53"	"TR02_53a"	"TR02_54"	"TR02_54a"	"TR02_55"	"TR02_55a"	"TR02_56"	"TR02_56a"	"TR02_57"	"TR02_57a"	"TR02_58"	"TR02_58a"	"TR02_59"	"TR02_59a"	"TR02_60"	"TR02_60a"	"TR02_61"	"TR02_61a"	"TR02_62"	"TR02_62a"	"TR02_63"	"TR02_63a"	"TR02_64"	"TR02_64a"	"TR02_65"	"TR02_65a"	"TR02_66"	"TR02_66a"	"TR02_67"	"TR02_67a"	"TR02_68"	"TR02_68a"	"TR02_69"	"TR02_69a"	"TR02_70"	"TR02_70a"	"TR02_71"	"TR02_71a"	"TR02_72"	"TR02_72a"	"TR02_73"	"TR02_73a"	"TR02_74"	"TR02_74a"	"TR02_75"	"TR02_75a"	"TR02_76"	"TR02_76a"	"TR02_77"	"TR02_77a"	"TR02_78"	"TR02_78a"	"TR02_79"	"TR02_79a"	"TR02_80"	"TR02_80a"	"TR02_81"	"TR02_81a"	"TR02_82"	"TR02_82a"	"TR02_83"	"TR02_83a"	"TR02_84"	"TR02_84a"	"TR02_85"	"TR02_85a"	"TR02_86"	"TR02_86a"	"TR02_87"	"TR02_87a"	"TR02_88"	"TR02_88a"	"TR02_89"	"TR02_89a"	"TR02_90"	"TR02_90a"	"TR02_91"	"TR02_91a"	"TR02_92"	"TR02_92a"	"TR02_93"	"TR02_93a"	"TR02_94"	"TR02_94a"	"TR02_95"	"TR02_95a"	"TR02_96"	"TR02_96a"	"UR01_CP"	"UR01"	"UR02_CP"	"UR02"	"UR03_01"	"IV01_01"	"IV01_02"	"IV01_03"	"IV02_01"	"IV02_02"	"IV02_03"	"IV02_04"	"IV03_01"	"IV03_02"	"IV03_03"	"IV03_04"	"IV03_05"	"IV03_06"	"IV03_07"	"IV03_08"	"IV03_09"	"IV03_10"	"IV03_11"	"IV03_12"	"IV03_13"	"IV03_14"	"IV03_15"	"IV03_16"	"IV03_17"	"IV03_18"	"IV03_19"	"IV03_20"	"IV03_21"	"IV03_22"	"IV03_23"	"IV03_24"	"IV03_25"	"IV03_26"	"IV03_27"	"IV03_28"	"IV03_29"	"IV03_30"	"IV03_31"	"IV03_32"	"IV03_33"	"IV03_34"	"IV03_35"	"IV03_36"	"IV03_37"	"IV03_38"	"IV03_39"	"IV03_40"	"IV03_41"	"IV03_42"	"IV03_43"	"IV03_44"	"IV03_45"	"IV03_46"	"IV03_47"	"IV03_48"	"IV03_49"	"IV03_50"	"IV03_51"	"IV03_52"	"IV03_53"	"IV03_54"	"IV03_55"	"IV03_56"	"IV03_57"	"IV03_58"	"IV03_59"	"IV03_60"	"IV03_61"	"IV03_62"	"IV03_63"	"IV03_64"	"IV03_65"	"IV03_66"	"IV03_67"	"IV03_68"	"IV03_69"	"IV03_70"	"IV03_71"	"IV03_72"	"IV03_73"	"IV03_74"	"IV03_75"	"IV03_76"	"IV03_77"	"IV03_78"	"IV03_79"	"IV03_80"	"IV03_81"	"IV03_82"	"IV03_83"	"IV03_84"	"IV03_85"	"IV03_86"	"IV03_87"	"IV03_88"	"IV03_89"	"IV03_90"	"IV03_91"	"IV03_92"	"IV03_93"	"IV03_94"	"IV03_95"	"IV03_96"	"IV04_RV1"	"IV04_REF"	"DV01_01"	"DV02_01"	"DV02_02"	"DV04_01"	"DV04_02"	"DV05_01"	"DV05_02"	"DV03_01"	"DV03_02"	"DM01"	"DM02"	"DM03"	"DM04_01"	"DM06"	"DM07"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
37			"base"	"debug"	2017-08-18 08:58:05																																																																																																																																																																																																									8	1	8	2			"0011111111111110101101101111111010111111111111001010111010100011110101111110111001111111101111011101"	"1110110100010111110110101101111111111111111011111111011110110111111100110001110101110111111111001011"																																																																																																																			"999"	1		26	2596															52		2017-08-18 09:41:47	F	F	2	2	0	0	0.33	0
38			"base"	"admin"	2017-08-18 09:46:12	1	2049	1	2665	1	1900	1	2298	2	2604	1	2785	2	2032	2	8538	2	2427	2	2211	2	1885	2	2133	2	9867	1	31060	2	2288	1	1884	2	1733	1	1660	2	1819	1	1774	2	3309	2	3323	2	3029	2	4249	2	3364	2	3397	2	3212	2	2775	2	3281	2	3084	2	4692	2	3679	2	4615	2	3328	2	3748	2	2406	2	3190	2	2533	2	2749	2	3830	2	2902	2	1976	2	2886	2	4510	2	3910	2	2719	2	4945	2	3660	2	4272	2	5361	2	5412	2	5166	2	5333	2	9354	2	7213	2	3768	2	5389	2	4916	2	7067	2	4209	2	6109	2	3949	2	6125	2	4930	2	4598	2	5713	2	4880	2	5937	2	2813	2	4688	2	10016	2	4205	2	10670	2	7518	2	2262	2	1170	2	43481	1	6252	1	2032	1	5214	1	4757	1	1491	1	1465	1	1479	1	1460	1	2061	2	2691	1	1814	1	3724	1	2030	2	1813	2	2866	2	1472	2	1890	2	1477	2	1957	2	2447	2	2129	1	2347	2	5046	9	2	9	1		"472"	"0000010000000001010011000000001011000101100010000010000010001000111010100000000000100001000100010001"	"1001001000000101101000010000000000001001101000000000100010100010110010000101001000000001010010000000"																																																																																																							95	88	91					18	65	10	1		"999"	2		8	3	2	3	9	3	7	6	8	517	6	6	8	24	13		623		2017-08-18 09:56:36	F	F	15	15	0	0	1.79	99
43			"base"	"debug"	2017-08-18 11:05:07																																																																																																																																																																																																									10	1	10	2			"0001011111011011111101111011111110111111100110110111111111011101111111101111100111101011111010110010"	"1111111101011111011111111100111110101101011111011111110011110111111001111011111101110011110010000111"																																																																																																																			"999"			10																10		2017-08-18 11:05:17	F	F	1	1	0	0	1.7	35
45			"base"	"debug"	2017-08-18 11:05:53	1	2347	1	2121																																																																																																																																																																																																					10	2	10	1			"0000001111110000000000000000100111011100100010100000100100000010000000010000000010000000000100110010"	"1001001000000100001000000110110100100000100000010100001000010000101110000001000000101000000000101000"	"15"	"16"																																																																																																																	"999"	2		7	43	468	6	7												87		2017-08-18 11:14:44	F	F	5	5	0	0	1.29	28
47			"base"	"debug"	2017-08-21 12:35:41	1	5319	1	2930	1	2493	1	2280	1	11873	1	10351	1	14183	2	4692	1	24284	2	10449	1	2488	2	1819	1	1800	2	2413	2	49722	1	2102	2	2632	1	1806	2	3591	1	1872	2	2443	1	8628	2	1883	1	2538	2	1739	1	1742	2	15507	1	2394	2	1744	1	1635	2	1833	1	1736	2	1700	1	2277	2	1695	1	1735	2	1732	1	1554	2	1682	1	19850	2	1981	1	2847	2	5522	1	6961	2	1594	1	3582	2	3867	1	2194	2	1596	1	5003	2	1846	1	2175	2	4005	1	2531	2	3043	1	1619	2	2653	1	2360	2	1531	1	3545	2	2928	1	2520	2	2452	1	4400	2	3465	1	3156	2	2222	1	1499	2	2941	1	2167	2	2532	1	2498	2	3160	1	1699	2	1794	1	5618	2	5326	1	5280	2	2386	1	5915	2	2548	1	3499	2	3009	1	7727	2	2873	1	3455	2	3968	1	3912	2	3033	1	3285	2	2717	1	3176	2	3447	1	2342	2	2772	1	3750	2	4548	1	4042	2	4920	1	2984	11	2	11	2		"512"	"1011000110010000000000000110111000000100101000100000000000100000010001010000100000101010000001000100"	"0000001000000000111011110001100000001100000001101000000000000000100010000100110101000111000000000000"	"14"	"15"	"15"	"13"	"15"	"14"	"10"	"11"	"15"	"16"	"15"	"16"	"13"	"13"	"11"	"16"	"11"	"15"	"11"	"15"	"14"	"15"	"15"	"16"	"9"	"15"	"15"	"15"	"16"	"16"	"15"	"16"	"15"	"12"	"14"	"11"	"15"	"11"	"13"	"16"	"14"	"10"	"15"	"9"	"16"	"12"	"15"	"10"	"14"	"13"	"13"	"14"	"9"	"14"	"10"	"12"	"14"	"11"	"10"	"13"	"10"	"15"	"9"	"13"	"13"	"13"	"13"	"14"	"16"	"16"	"16"	"15"	"16"	"11"	"15"	"11"	"10"	"15"	"13"	"16"	"15"	"15"	"9"	"13"	"16"	"16"	"10"	"15"	"13"	"13"	"14"	"12"	"13"	"9"	"10"	"13"	"13"	"9"	"14"	"14"			69	93	75					11	27	10	1		"999"	2		15	7	6	2	3	14	10	6	18	510	10	4	8	16	6		628		2017-08-21 12:46:17	T	F	15	15	0	0	1.8	65
50			"base"	"debug"	2017-08-21 12:52:54																																																																																																																																																																																																									11	1	11	1			"1111111110111111011111000111111001110111011111101111100011110011111001111100110111101011010111101111"	"0101011001100110101111111100111111111111011111110100011111110010111111101111111000111110110111111111"																																																																																																					"KTNOXTE0"	"-"													"test"	2		5	2															7		2017-08-21 12:53:01	F	F	2	2	0	0	3	310
53			"base"	"debug"	2017-08-21 15:35:08	1	1984	1	54579	1	2221	1	1773	1	2775	1	65516	1	1797	1	2172	2	44078	2	1728	2	1967	2	2093	2	2211	2	2154	2	2482	2	2952	2	2051	2	2705	2	3529	2	41503	2	3135	2	13543	2	10890	2	22585	2	2235	2	23556	2	1859	1	7605	1	1699	1	9651	1	2692	1	11539	1	1626577	1	1941	1	1434	1	1483	1	1479	1	4690	1	1496	1	28809	1	1628	1	2494	1	2295	1	1430	1	1489	1	1484	1	1545	1	1566	1	1478	1	1981	1	3988	1	250353	1	1959	1	3081	1	1807	1	1474	1	2097	1	1789	1	1513	1	1568	1	426519	1	3618	1	2056	1	1502	1	1659	1	1769	1	1686	1	1704	1	4749	1	1665	1	1582	1	1456	1	1478	1	1672	1	1649	1	1500	1	29877	1	1553	1	1482	1	1518	1	4037	1	6896	1	1684	1	1561	1	1679	1	1431	1	1598	1	7649	1	4341	1	3132	1	2394	2	2249	2	2812	2	1513	2	1808	2	1649	2	2017	2	1498	2	1751	1	2965	12	1	12	1		"753"	"1111110111011111111110111111111001101111001011011101111110111111011101110101111001011100111110011010"	"0111111111101011010110101011111111100110111101111000111011001111111110100111111111111110111010111101"	"14"	"11"	"11"	"12"	"12"	"12"	"9"	"12"	"14"	"12"	"10"	"11"	"12"	"10"	"10"	"10"	"11"	"12"	"9"	"16"	"12"	"16"	"9"	"11"	"13"	"11"	"15"	"9"	"9"	"11"	"11"	"15"	"10"	"12"	"11"	"9"	"12"	"10"	"9"	"11"	"10"	"11"	"14"	"12"	"12"	"10"	"10"	"9"	"10"	"9"	"12"	"12"	"15"	"14"	"10"	"12"	"16"	"12"	"12"	"10"	"9"	"14"	"13"	"10"	"14"	"10"	"10"	"15"	"11"	"11"	"9"	"15"	"12"	"11"	"12"	"10"	"10"	"11"	"13"	"12"	"9"	"9"	"11"	"11"	"12"	"14"	"10"	"10"	"9"	"16"	"12"	"9"	"11"	"13"	"9"	"16"	"11"	"16"	"12"	"10"	"KTNOXTE0"	"-"	14	58	25					88	23	8	1		"ID"	2		12	3	9	2	60	3	5	4	140	2886	107	10	9	94	138		414		2017-08-21 16:33:10	T	F	15	15	0	0	1.39	69
55			"base"	"debug"	2017-08-22 14:12:00	1	108308	1	177332	1	2453	1	1704	1	7055	2	4391	-9																																																																																																																																																																																												13	2	13	2			"1100000001001001011001000010000000000100110000010010011001000000000000000000011001101000000101010000"	"0000000000000000000100010001001011001100000000011011100100000000000110001000000001000101111100010000"	"15"	"15"	"13"	"15"	"15"	"11"	"16"																																																																																															"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"	71	64	55					82	24					-9		31	153	262	259	4	290	8	288	34	376		34	672				548		2017-08-22 14:52:11	F	F	13	13	21	21	0.54	10
57			"base"	"debug"	2017-08-22 15:54:55	-9				-9																																																																																																																																																																																																				13	1	13	1			"1111111011111011111111011101111010111110001010010101111110111110111111100111011010111100011111111101"	"0101110111111111011110111111110101111010111111110111010010110100111111101111110110111101011101111100"	"13"	"16"	"12"																																																																																																			"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"														-9		2	1690	277	624	309	87	4		198								102		2017-08-22 16:48:06	F	F	9	9	100	100	0.73	56
58			"base"	"debug"	2017-08-22 16:48:13	1	20321	1	44000	-9																																																																																																																																																																																																				14	2	14	1			"0000000000000010010000000010101001010100000000100000110100011010100010100001100010000000100001101000"	"1100010101000010000111001001000101101000010000010000000000000101010000100000100000100000001000010000"	"15"	"13"	"15"																																																																																																			"https://www.soscisurvey.de/admin/index.php?o=Questionnaire"													"999"	2		6	6	6	7	47	67	29						305	40			153		2017-08-22 16:56:46	F	F	14	14	56	56	1.31	47
